"Input number 213244 with intial rewrite term cbabaaaaaabbbbbbaad
Generated final number 17 with final rewrite term caaabd
Number of steps: 280  Number of array doubles: 0"
Term	Number
cagbbaabbaaaad	9008
cfabbaabbaaaad	9008
caaabbaabbaaaad	9008
caaabbaabbaaad	4504
caaabbaabbaad	2252
caaabbaabbad	1126
caaabbaabbd	563
caaabbaabgd	845
caaabbaagbd	845
caaabbafabd	845
caaabbebabd	845
caaabfbbabd	845
caaagabbabd	845
caafaabbabd	845
caebaabbabd	845
ceabaabbabd	845
cbabaabbabd	845
cbabaabbagd	1268
cbabaabbfad	1268
cbabaabgaad	1268
cbabaagbaad	1268
cbabafabaad	1268
cbabebabaad	1268
cbafbbabaad	1268
cbebbbabaad	1268
cfbbbbabaad	1268
caabbbbabaad	1268
caabbbbabad	634
caabbbbabd	317
caabbbbagd	476
caabbbbfad	476
caabbbgaad	476
caabbgbaad	476
caabgbbaad	476
caagbbbaad	476
cafabbbaad	476
cebabbbaad	476
cbbabbbaad	476
cbbabbbad	238
cbbabbbd	119
cbbabbgd	179
cbbabgbd	179
cbbagbbd	179
cbbfabbd	179
cbgaabbd	179
cgbaabbd	179
cabbaabbd	179
cabbaabgd	269
cabbaagbd	269
cabbafabd	269
cabbebabd	269
cabfbbabd	269
cagabbabd	269
cfaabbabd	269
caaaabbabd	269
caaaabbagd	404
caaaabbfad	404
caaaabgaad	404
caaaagbaad	404
caaafabaad	404
caaebabaad	404
caeababaad	404
ceaababaad	404
cbaababaad	404
cbaababad	202
cbaababd	101
cbaabagd	152
cbaabfad	152
cbaagaad	152
cbafaaad	152
cbebaaad	152
cfbbaaad	152
caabbaaad	152
caabbaad	76
caabbad	38
caabbd	19
caabgd	29
caagbd	29
cafabd	29
cebabd	29
cbbabd	29
cbbagd	44
cbbfad	44
cbgaad	44
cgbaad	44
cabbaad	44
cabbad	22
cabbd	11
cabgd	17
cagbd	17
cfabd	17
caaabd	17
