"Input number 24379261 with intial rewrite term cabbbaabbbbbbbbbbabbbbbabd
Generated final number 1 with final rewrite term cd
Number of steps: 1547  Number of array doubles: 0"
Term	Number
caaaebabbd	395
caaeababbd	395
caeaababbd	395
ceaaababbd	395
cbaaababbd	395
cbaaababgd	593
cbaaabagbd	593
cbaaabfabd	593
cbaaagaabd	593
cbaafaaabd	593
cbaebaaabd	593
cbeabaaabd	593
cfbabaaabd	593
caababaaabd	593
caababaaagd	890
caababaafad	890
caababaebad	890
caababeabad	890
caabafbabad	890
caabebbabad	890
caafbbbabad	890
caebbbbabad	890
ceabbbbabad	890
cbabbbbabad	890
cbabbbbabd	445
cbabbbbagd	668
cbabbbbfad	668
cbabbbgaad	668
cbabbgbaad	668
cbabgbbaad	668
cbagbbbaad	668
cbfabbbaad	668
cgaabbbaad	668
cabaabbbaad	668
cabaabbbad	334
cabaabbbd	167
cabaabbgd	251
cabaabgbd	251
cabaagbbd	251
cabafabbd	251
cabebabbd	251
cafbbabbd	251
cebbbabbd	251
cbbbbabbd	251
cbbbbabgd	377
cbbbbagbd	377
cbbbbfabd	377
cbbbgaabd	377
cbbgbaabd	377
cbgbbaabd	377
cgbbbaabd	377
cabbbbaabd	377
cabbbbaagd	566
cabbbbafad	566
cabbbbebad	566
cabbbfbbad	566
cabbgabbad	566
cabgbabbad	566
cagbbabbad	566
cfabbabbad	566
caaabbabbad	566
caaabbabbd	283
caaabbabgd	425
caaabbagbd	425
caaabbfabd	425
caaabgaabd	425
caaagbaabd	425
caafabaabd	425
caebabaabd	425
ceababaabd	425
cbababaabd	425
cbababaagd	638
cbababafad	638
cbababebad	638
cbabafbbad	638
cbabebbbad	638
cbafbbbbad	638
cbebbbbbad	638
cfbbbbbbad	638
caabbbbbbad	638
caabbbbbbd	319
caabbbbbgd	479
caabbbbgbd	479
caabbbgbbd	479
caabbgbbbd	479
caabgbbbbd	479
caagbbbbbd	479
cafabbbbbd	479
cebabbbbbd	479
cbbabbbbbd	479
cbbabbbbgd	719
cbbabbbgbd	719
cbbabbgbbd	719
cbbabgbbbd	719
cbbagbbbbd	719
cbbfabbbbd	719
cbgaabbbbd	719
cgbaabbbbd	719
cabbaabbbbd	719
cabbaabbbgd	1079
cabbaabbgbd	1079
cabbaabgbbd	1079
cabbaagbbbd	1079
cabbafabbbd	1079
cabbebabbbd	1079
cabfbbabbbd	1079
cagabbabbbd	1079
cfaabbabbbd	1079
caaaabbabbbd	1079
caaaabbabbgd	1619
caaaabbabgbd	1619
caaaabbagbbd	1619
caaaabbfabbd	1619
caaaabgaabbd	1619
caaaagbaabbd	1619
caaafabaabbd	1619
caaebabaabbd	1619
caeababaabbd	1619
ceaababaabbd	1619
cbaababaabbd	1619
cbaababaabgd	2429
cbaababaagbd	2429
cbaababafabd	2429
cbaababebabd	2429
cbaabafbbabd	2429
cbaabebbbabd	2429
cbaafbbbbabd	2429
cbaebbbbbabd	2429
cbeabbbbbabd	2429
cfbabbbbbabd	2429
caababbbbbabd	2429
caababbbbbagd	3644
caababbbbbfad	3644
caababbbbgaad	3644
caababbbgbaad	3644
caababbgbbaad	3644
caababgbbbaad	3644
caabagbbbbaad	3644
caabfabbbbaad	3644
caagaabbbbaad	3644
cafaaabbbbaad	3644
cebaaabbbbaad	3644
cbbaaabbbbaad	3644
cbbaaabbbbad	1822
cbbaaabbbbd	911
cbbaaabbbgd	1367
cbbaaabbgbd	1367
cbbaaabgbbd	1367
cbbaaagbbbd	1367
cbbaafabbbd	1367
cbbaebabbbd	1367
cbbeababbbd	1367
cbfbababbbd	1367
cgabababbbd	1367
cababababbbd	1367
cababababbgd	2051
cababababgbd	2051
cabababagbbd	2051
cabababfabbd	2051
cababagaabbd	2051
cababfaaabbd	2051
cabagaaaabbd	2051
cabfaaaaabbd	2051
cagaaaaaabbd	2051
cfaaaaaaabbd	2051
caaaaaaaaabbd	2051
caaaaaaaaabgd	3077
caaaaaaaaagbd	3077
caaaaaaaafabd	3077
caaaaaaaebabd	3077
caaaaaaeababd	3077
caaaaaeaababd	3077
caaaaeaaababd	3077
caaaeaaaababd	3077
caaeaaaaababd	3077
caeaaaaaababd	3077
ceaaaaaaababd	3077
cbaaaaaaababd	3077
cbaaaaaaabagd	4616
cbaaaaaaabfad	4616
cbaaaaaaagaad	4616
cbaaaaaafaaad	4616
cbaaaaaebaaad	4616
cbaaaaeabaaad	4616
cbaaaeaabaaad	4616
cbaaeaaabaaad	4616
cbaeaaaabaaad	4616
cbeaaaaabaaad	4616
cfbaaaaabaaad	4616
caabaaaaabaaad	4616
caabaaaaabaad	2308
caabaaaaabad	1154
caabaaaaabd	577
caabaaaaagd	866
caabaaaafad	866
caabaaaebad	866
caabaaeabad	866
caabaeaabad	866
caabeaaabad	866
caafbaaabad	866
caebbaaabad	866
ceabbaaabad	866
cbabbaaabad	866
cbabbaaabd	433
cbabbaaagd	650
cbabbaafad	650
cbabbaebad	650
cbabbeabad	650
cbabfbabad	650
cbagababad	650
cbfaababad	650
cgaaababad	650
cabaaababad	650
cabaaababd	325
cabaaabagd	488
cabaaabfad	488
cabaaagaad	488
cabaafaaad	488
cabaebaaad	488
cabeabaaad	488
cafbabaaad	488
cebbabaaad	488
cbbbabaaad	488
cbbbabaad	244
cbbbabad	122
cbbbabd	61
cbbbagd	92
cbbbfad	92
cbbgaad	92
cbgbaad	92
cgbbaad	92
cabbbaad	92
cabbbad	46
cabbbd	23
cabbgd	35
cabgbd	35
cagbbd	35
cfabbd	35
caaabbd	35
caaabgd	53
caaagbd	53
caafabd	53
caebabd	53
ceababd	53
cbababd	53
cbabagd	80
cbabfad	80
cbagaad	80
cbfaaad	80
cgaaaad	80
cabaaaad	80
cabaaad	40
cabaad	20
cabad	10
cabd	5
cagd	8
cfad	8
caaad	8
caad	4
cad	2
cd	1
