"Input number 24615 with intial rewrite term cbaaaaaaabaabbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 226  Number of array doubles: 0"
Term	Number
cfbbbabd	157
caabbbabd	157
caabbbd	39
caagbbd	59
cafabbd	59
cebabbd	59
cbbabbd	59
cbbfabd	89
cbgaabd	89
cgbaabd	89
cabbaabd	89
cabbebd	67
cabfbbd	67
cagabbd	67
cfaabbd	67
caaaabbd	67
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaabd	25
cbebd	19
cfbbd	19
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbbd	7
