"Input number 6171 with intial rewrite term cbaaaaaabbabbd
Generated final number 5 with final rewrite term cabd
Number of steps: 939  Number of array doubles: 1"
Term	Number
cbbbfabbaabbbaabd	95033
cbbgaabbaabbbaabd	95033
cbgbaabbaabbbaabd	95033
cgbbaabbaabbbaabd	95033
cabbbaabbaabbbaabd	95033
cabbbaabbaabbbebd	71275
cabbbaabbaabbfbbd	71275
cabbbaabbaabgabbd	71275
cabbbaabbaagbabbd	71275
cabbbaabbafababbd	71275
cabbbaabbebababbd	71275
cabbbaabfbbababbd	71275
cabbbaagabbababbd	71275
cabbbafaabbababbd	71275
cabbbebaabbababbd	71275
cabbfbbaabbababbd	71275
cabgabbaabbababbd	71275
cagbabbaabbababbd	71275
cfababbaabbababbd	71275
caaababbaabbababbd	71275
caaababbaabbabfabd	106913
caaababbaabbagaabd	106913
caaababbaabbfaaabd	106913
caaababbaabgaaaabd	106913
caaababbaagbaaaabd	106913
caaababbafabaaaabd	106913
caaababbebabaaaabd	106913
caaababfbbabaaaabd	106913
caaabagabbabaaaabd	106913
caaabfaabbabaaaabd	106913
caaagaaabbabaaaabd	106913
caafaaaabbabaaaabd	106913
caebaaaabbabaaaabd	106913
ceabaaaabbabaaaabd	106913
cbabaaaabbabaaaabd	106913
cbabaaaabbabaaebd	80185
cbabaaaabbabaeabd	80185
cbabaaaabbabeaabd	80185
cbabaaaabbafbaabd	80185
cbabaaaabbebbaabd	80185
cbabaaaabfbbbaabd	80185
cbabaaaagabbbaabd	80185
cbabaaafaabbbaabd	80185
cbabaaebaabbbaabd	80185
cbabaeabaabbbaabd	80185
cbabeaabaabbbaabd	80185
cbafbaabaabbbaabd	80185
cbebbaabaabbbaabd	80185
cfbbbaabaabbbaabd	80185
caabbbaabaabbbaabd	80185
caabbbaabaabbbebd	60139
caabbbaabaabbfbbd	60139
caabbbaabaabgabbd	60139
caabbbaabaagbabbd	60139
caabbbaabafababbd	60139
caabbbaabebababbd	60139
caabbbaafbbababbd	60139
caabbbaebbbababbd	60139
caabbbeabbbababbd	60139
caabbfbabbbababbd	60139
caabgababbbababbd	60139
caagbababbbababbd	60139
cafabababbbababbd	60139
cebabababbbababbd	60139
cbbabababbbababbd	60139
cbbabababbbabfabd	90209
cbbabababbbagaabd	90209
cbbabababbbfaaabd	90209
cbbabababbgaaaabd	90209
cbbabababgbaaaabd	90209
cbbababagbbaaaabd	90209
cbbababfabbaaaabd	90209
cbbabagaabbaaaabd	90209
cbbabfaaabbaaaabd	90209
cbbagaaaabbaaaabd	90209
cbbfaaaaabbaaaabd	90209
cbgaaaaaabbaaaabd	90209
cgbaaaaaabbaaaabd	90209
cabbaaaaaabbaaaabd	90209
cabbaaaaaabbaaebd	67657
cabbaaaaaabbaeabd	67657
cabbaaaaaabbeaabd	67657
cabbaaaaaabfbaabd	67657
cabbaaaaaagabaabd	67657
cabbaaaaafaabaabd	67657
cabbaaaaebaabaabd	67657
cabbaaaeabaabaabd	67657
cabbaaeaabaabaabd	67657
cabbaeaaabaabaabd	67657
cabbeaaaabaabaabd	67657
cabfbaaaabaabaabd	67657
cagabaaaabaabaabd	67657
cfaabaaaabaabaabd	67657
caaaabaaaabaabaabd	67657
caaaabaaaabaabebd	50743
caaaabaaaabaafbbd	50743
caaaabaaaabaebbbd	50743
caaaabaaaabeabbbd	50743
caaaabaaaafbabbbd	50743
caaaabaaaebbabbbd	50743
caaaabaaeabbabbbd	50743
caaaabaeaabbabbbd	50743
caaaabeaaabbabbbd	50743
caaaafbaaabbabbbd	50743
caaaebbaaabbabbbd	50743
caaeabbaaabbabbbd	50743
caeaabbaaabbabbbd	50743
ceaaabbaaabbabbbd	50743
cbaaabbaaabbabbbd	50743
