"Input number 2911515 with intial rewrite term cabbaaabbabbabaaabbabbd
Generated final number 5 with final rewrite term cabd
Number of steps: 684  Number of array doubles: 0"
Term	Number
caafbabbbabd	1757
caebbabbbabd	1757
ceabbabbbabd	1757
cbabbabbbabd	1757
cbabbabbgd	659
cbabbabgbd	659
cbabbagbbd	659
cbabbfabbd	659
cbabgaabbd	659
cbagbaabbd	659
cbfabaabbd	659
cgaabaabbd	659
cabaabaabbd	659
cabaabafabd	989
cabaabebabd	989
cabaafbbabd	989
cabaebbbabd	989
cabeabbbabd	989
cafbabbbabd	989
cebbabbbabd	989
cbbbabbbabd	989
cbbbabbgd	371
cbbbabgbd	371
cbbbagbbd	371
cbbbfabbd	371
cbbgaabbd	371
cbgbaabbd	371
cgbbaabbd	371
cabbbaabbd	371
cabbbafabd	557
cabbbebabd	557
cabbfbbabd	557
cabgabbabd	557
cagbabbabd	557
cfababbabd	557
caaababbabd	557
caaababgd	209
caaabagbd	209
caaabfabd	209
caaagaabd	209
caafaaabd	209
caebaaabd	209
ceabaaabd	209
cbabaaabd	209
cbabaebd	157
cbabeabd	157
cbafbabd	157
cbebbabd	157
cfbbbabd	157
caabbbabd	157
caabbgd	59
caabgbd	59
caagbbd	59
cafabbd	59
cebabbd	59
cbbabbd	59
cbbfabd	89
cbgaabd	89
cgbaabd	89
cabbaabd	89
cabbebd	67
cabfbbd	67
cagabbd	67
cfaabbd	67
caaaabbd	67
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaagd	38
cbafad	38
cbebad	38
cfbbad	38
caabbad	38
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbgd	11
cgbd	11
cabbd	11
cfabd	17
caaabd	17
caebd	13
ceabd	13
cbabd	13
cgd	5
cabd	5
