"Input number 33163990 with intial rewrite term cbbbbbabaaaaabababbababbad
Generated final number 1 with final rewrite term cd
Number of steps: 693  Number of array doubles: 0"
Term	Number
caabbabaaaabd	2465
caabbabaaaagd	3698
caabbabaaafad	3698
caabbabaaebad	3698
caabbabaeabad	3698
caabbabeaabad	3698
caabbafbaabad	3698
caabbebbaabad	3698
caabfbbbaabad	3698
caagabbbaabad	3698
cafaabbbaabad	3698
cebaabbbaabad	3698
cbbaabbbaabad	3698
cbbaabbbaabd	1849
cbbaabbbaagd	2774
cbbaabbbafad	2774
cbbaabbbebad	2774
cbbaabbfbbad	2774
cbbaabgabbad	2774
cbbaagbabbad	2774
cbbafababbad	2774
cbbebababbad	2774
cbfbbababbad	2774
cgabbababbad	2774
cababbababbad	2774
cababbababbd	1387
cababbababgd	2081
cababbabagbd	2081
cababbabfabd	2081
cababbagaabd	2081
cababbfaaabd	2081
cababgaaaabd	2081
cabagbaaaabd	2081
cabfabaaaabd	2081
cagaabaaaabd	2081
cfaaabaaaabd	2081
caaaaabaaaabd	2081
caaaaabaaaagd	3122
caaaaabaaafad	3122
caaaaabaaebad	3122
caaaaabaeabad	3122
caaaaabeaabad	3122
caaaaafbaabad	3122
caaaaebbaabad	3122
caaaeabbaabad	3122
caaeaabbaabad	3122
caeaaabbaabad	3122
ceaaaabbaabad	3122
cbaaaabbaabad	3122
cbaaaabbaabd	1561
cbaaaabbaagd	2342
cbaaaabbafad	2342
cbaaaabbebad	2342
cbaaaabfbbad	2342
cbaaaagabbad	2342
cbaaafaabbad	2342
cbaaebaabbad	2342
cbaeabaabbad	2342
cbeaabaabbad	2342
cfbaabaabbad	2342
caabaabaabbad	2342
caabaabaabbd	1171
caabaabaabgd	1757
caabaabaagbd	1757
caabaabafabd	1757
caabaabebabd	1757
caabaafbbabd	1757
caabaebbbabd	1757
caabeabbbabd	1757
caafbabbbabd	1757
caebbabbbabd	1757
ceabbabbbabd	1757
cbabbabbbabd	1757
cbabbabbbagd	2636
cbabbabbbfad	2636
cbabbabbgaad	2636
cbabbabgbaad	2636
cbabbagbbaad	2636
cbabbfabbaad	2636
cbabgaabbaad	2636
cbagbaabbaad	2636
cbfabaabbaad	2636
cgaabaabbaad	2636
cabaabaabbaad	2636
cabaabaabbad	1318
cabaabaabbd	659
cabaabaabgd	989
cabaabaagbd	989
cabaabafabd	989
cabaabebabd	989
cabaafbbabd	989
cabaebbbabd	989
cabeabbbabd	989
cafbabbbabd	989
cebbabbbabd	989
cbbbabbbabd	989
cbbbabbbagd	1484
cbbbabbbfad	1484
cbbbabbgaad	1484
cbbbabgbaad	1484
cbbbagbbaad	1484
cbbbfabbaad	1484
cbbgaabbaad	1484
cbgbaabbaad	1484
cgbbaabbaad	1484
cabbbaabbaad	1484
cabbbaabbad	742
cabbbaabbd	371
cabbbaabgd	557
cabbbaagbd	557
cabbbafabd	557
cabbbebabd	557
cabbfbbabd	557
cabgabbabd	557
cagbabbabd	557
cfababbabd	557
caaababbabd	557
caaababbagd	836
caaababbfad	836
caaababgaad	836
caaabagbaad	836
caaabfabaad	836
caaagaabaad	836
caafaaabaad	836
caebaaabaad	836
ceabaaabaad	836
cbabaaabaad	836
cbabaaabad	418
cbabaaabd	209
cbabaaagd	314
cbabaafad	314
cbabaebad	314
cbabeabad	314
cbafbabad	314
cbebbabad	314
cfbbbabad	314
caabbbabad	314
caabbbabd	157
caabbbagd	236
caabbbfad	236
caabbgaad	236
caabgbaad	236
caagbbaad	236
cafabbaad	236
cebabbaad	236
cbbabbaad	236
cbbabbad	118
cbbabbd	59
cbbabgd	89
cbbagbd	89
cbbfabd	89
cbgaabd	89
cgbaabd	89
cabbaabd	89
cabbaagd	134
cabbafad	134
cabbebad	134
cabfbbad	134
cagabbad	134
cfaabbad	134
caaaabbad	134
caaaabbd	67
caaaabgd	101
caaaagbd	101
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaabagd	152
cbaabfad	152
cbaagaad	152
cbafaaad	152
cbebaaad	152
cfbbaaad	152
caabbaaad	152
caabbaad	76
caabbad	38
caabbd	19
caabgd	29
caagbd	29
cafabd	29
cebabd	29
cbbabd	29
cbbagd	44
cbbfad	44
cbgaad	44
cgbaad	44
cabbaad	44
cabbad	22
cabbd	11
cabgd	17
cagbd	17
cfabd	17
caaabd	17
caaagd	26
caafad	26
caebad	26
ceabad	26
cbabad	26
cbabd	13
cbagd	20
cbfad	20
cgaad	20
cabaad	20
cabad	10
cabd	5
cagd	8
cfad	8
caaad	8
caad	4
cad	2
cd	1
